"","tmp1","tmp2","tmp3","tmp4"
"1",1.21754494105765e-31,0.9572,2.22411380312692e-34,1
"2",4.66633402546635e-33,0.98,2.37541659713464e-34,1
"3",6.86205189473146e-33,0.97979797979798,2.35791553792181e-34,1
"4",1.01951169351062e-15,0.661855670103093,2.47277089731713e-34,1
"5",1.2068247281978e-20,0.762,2.25118478020572e-34,1
"6",1.92182128240733e-18,0.741494252873563,1.76345749759622e-34,1
"7",1.08841819914466e-11,0.585925925925926,5.62504557248254e-34,0.992
"8",5.96870675289947e-25,0.985964912280702,6.30191960341399e-33,0.9756
"9",7.5746842953672e-32,0.96,2.06026773169677e-34,1
"10",1.82420195816896e-09,0.511190476190476,6.27121443546965e-09,0.473
"11",0.0100450959227687,0.21625,7.57822057492551e-19,0.722
"12",1.86862333328615e-25,0.857142857142857,2.23722997182427e-34,1
"13",1.2711513748355e-22,0.7991,3.8174132715918e-17,0.6872
"14",4.94504237578708e-18,0.711428571428571,2.21633019693602e-34,1
"15",3.27068109558647e-29,-0.953411764705882,1.5590205448141e-34,0.9992
"16",3.02796973653373e-28,0.906185567010309,1.97003328192941e-34,1
"17",4.58120804125086e-21,0.78,2.89368440641277e-35,1
"18",2.0445972104539e-29,-0.97320987654321,2.08799570266656e-34,1
"19",2.2559921381415e-17,0.819622641509434,9.51952569485891e-35,0.994
"20",1.80944903783696e-27,0.976811594202899,1.11972790472628e-34,1
"21",2.75249437131561e-14,0.662337662337662,9.61932002597027e-35,1
"22",8.24403537532173e-30,0.985205479452055,4.13936164873386e-34,0.98
"23",1.13580719293961e-12,0.626666666666667,1.21245108091273e-33,0.986
