"","tmp1","tmp2","tmp3","tmp4"
"1",1.74181753892209e-34,1,2.2999174028645e-34,1
"2",2.38522389505612e-34,1,2.38535851490206e-34,1
"3",6.52361220769352e-33,0.97979797979798,2.23811549047018e-34,1
"4",4.56079468524588e-22,0.796494845360825,2.4529113514474e-34,1
"5",3.7832449256026e-28,0.8994,2.23798896691921e-34,1
"6",1.18096440670248e-32,1,7.38925342366826e-35,1
"7",5.55362361997526e-14,0.648148148148148,3.21544206542394e-33,0.98
"8",2.28114448814166e-26,1,1.59304551979387e-34,1
"9",1.47308752457789e-34,1,2.19450312584334e-34,1
"10",1.62307320171904e-11,0.575,4.78997761674596e-13,0.5894
"11",2.18177846242545e-30,0.809204545454545,3.89538794684521e-33,0.9714
"12",2.15727607737672e-30,0.94,2.01203353316262e-34,1
"13",1.96033449086096e-34,1,7.97624681845479e-17,0.6808
"14",8.35042893219045e-29,0.914285714285714,1.85519285570432e-34,1
"15",5.31294561942752e-30,-0.969411764705882,0.0322486933004202,-0.175
"16",6.66092045425132e-34,1,2.11728523294309e-34,1
"17",8.03510371108316e-29,0.92505376344086,1.45517490857108e-34,1
"18",0.00689466010377117,0.23358024691358,2.0634217478198e-34,1
"19",9.5537747626624e-22,0.93,2.36894112811432e-34,0.99
"20",1.32973101395329e-27,0.982028985507246,9.28902487167805e-34,0.9876
"21",2.83735996774657e-21,0.822857142857143,8.18284982651579e-35,1
"22",NA,NA,2.78221647358906e-35,0.98
"23",1.79863504219537e-18,0.771066666666667,4.13466766131831e-34,0.9932
