"","tmp1","tmp2","tmp3","tmp4"
"1",4.29607302483683e-26,0.8638,2.10116254295448e-34,1
"2",8.19328322438377e-32,0.9602,2.3142526922859e-34,1
"3",6.41890763766828e-33,0.97979797979798,2.20109142288238e-34,1
"4",2.53616504688754e-07,0.425154639175258,2.41911008736198e-34,1
"5",3.59386192316771e-11,0.541,1.96011207765239e-34,1
"6",2.30953251480652e-13,0.618390804597701,1.20396302053967e-34,1
"7",2.10074403039434e-10,0.54716049382716,3.31461609897645e-34,0.9944
"8",1.42211535753202e-25,1,1.76898372348372e-34,1
"9",5.13868669287792e-17,0.6848,1.83662784028606e-34,1
"10",5.61783291174954e-11,0.555714285714286,3.08480195593474e-20,0.7488
"11",0.297825038726856,0.0875,5.27675338269872e-14,0.6112
"12",7.34547136338858e-20,0.749387755102041,2.0162583294056e-34,1
"13",1.07151533526018e-17,0.6958,2.98334006533109e-30,0.926
"14",7.9728523689575e-11,0.534285714285714,2.13051122949153e-34,1
"15",3.04829095025595e-29,-0.955058823529412,1.58878008189533e-34,1
"16",0.818406560519657,0.0189690721649485,2.25280527430525e-31,0.951
"17",2.56900970022274e-13,0.6,3.31449098117736e-34,0.964
"18",1.34446994270348e-29,-0.975308641975309,1.83882097647568e-34,1
"19",1.85209414239844e-19,0.874716981132076,4.54449694388299e-35,1
"20",4.95784246750402e-27,0.971014492753623,1.41884666187124e-34,1
"21",1.24026798663863e-12,0.613506493506494,4.43621024136035e-35,1
"22",3.0914373958797e-22,0.845479452054794,6.85110914183462e-34,0.98
"23",1.49713676714579e-11,0.593066666666667,1.05845320282623e-32,0.9698
