"","tmp1","tmp2","tmp3","tmp4","tmp5","tmp6","tmp7","tmp8"
"1",5.10647742792181e-07,0.5832,5.86989291410091e-14,0.872,1.00864031106045e-17,0.9952,2.06285863248889e-17,0.9856
"2",2.2260572691605e-09,0.6944,2.30439997869719e-08,0.6488,6.12337406796027e-10,0.7184,5.13909580007691e-10,0.7216
"3",1.51415740847842e-12,0.8212,3.69765597321993e-08,0.6392,0.00299767283738477,0.3448,0.00391291534297226,0.3352
"4",4.15992888797204e-05,-0.476,7.92418545848836e-06,-0.5188,0.301093344240158,-0.1204,0.350244371093605,-0.1088
"5",0.447642489883713,0.0889795918367347,0.82003644369962,0.0268,0.495006027595778,0.08,0.583647095091619,0.064
"6",0.00117663834633987,0.380833333333333,0.000207953482187697,0.4308,1.58770030281446e-08,0.100416666666667,3.77950485688967e-10,0.7264
"7",0.000737251864934005,0.407906976744186,0.100115396108442,0.1912,0.000218488969872453,0.373023255813954,0.0153669284827019,0.2816
"8",0.000181346047931022,0.254666666666667,0.756362491055614,0.0364,0.00382860380928834,-0.376,0.000334996873598456,0.4164
"9",1.69731512434342e-16,0.9568,1.00634434844197e-14,0.8984,1.47909285379772e-17,0.92,6.84471433062053e-18,1
"10",0.000446700575434518,0.419111111111111,0.190249461999736,0.1524,7.31921832782099e-11,0.0893333333333333,1.78480535180741e-11,0.7804
"11",0.970016670581977,-0.115454545454545,0.727681695010036,0.0408,0.0194499050235123,-0.862727272727273,2.00363616779286e-10,0.7336
"12",0.118402100410451,0.1816,0.209595318728236,0.146,0.785366099704182,0.032,0.375692342653302,0.1032
"13",5.34445956813993e-08,0.6316,0.00185261339977198,0.3616,2.02291024903843e-15,0.48,6.95377413536247e-18,1
"14",0.694351989934816,0.046,0.634303901399657,0.0556,6.47986174239176e-11,0.7584,1.40869451127296e-10,0.7448
"15",6.31439940335816e-15,-0.954146341463415,3.66550459337011e-12,-0.8068,0.528511578022152,-0.0775609756097561,0.000204987056997776,-0.4312
"16",1.64969869404322e-09,0.7,5.5306549685347e-15,0.9072,1.27642716561824e-09,0.7048,6.61388397200032e-08,0.6272
"17",0.00102602681541795,0.383265306122449,7.8134445908323e-07,0.5736,0.000616410557803181,0.399591836734694,4.21089847923932e-05,0.4756
"18",5.58269498173446e-11,-0.786818181818182,0.000114548511720536,-0.448,6.46787507283935e-12,-0.824545454545455,9.48303964314919e-09,-0.6664
"19",0.0467534270710047,0.23125,0.0735106746569091,-0.2068,0.51734993271607,-0.1275,1.42300157384199e-08,-0.6544
"20",0.000976626773130153,0.238857142857143,0.122835980986745,0.1792,0.000486436138084525,0.425142857142857,0.479255727290525,0.0824
"21",0.00121526416968148,0.39609756097561,0.000132905766445264,0.4436,0.181418398124202,0.16390243902439,0.795918329941441,0.0304
"22",0.0114623939104736,0.17027027027027,0.47675223581378,0.0828,0.0666268206610677,0.207027027027027,0.830536927480189,0.0252
"23",0.545478163064675,0.0753846153846154,0.643658179195441,-0.054,0.348176381226982,0.0948717948717949,0.367447604928195,0.1048
