0.43212,0.14618,0.65031,0.058707,0.3908,0.15246,0.62493,0.066223,0.31359,0.087829,0.59746,0.03504
0.41457,0.17054,0.63925,0.069218,0.41226,0.15286,0.63491,0.062092,0.31331,0.083585,0.59693,0.03603
0.40295,0.1652,0.64209,0.06966,0.38975,0.13895,0.62345,0.054209,0.31617,0.090205,0.60022,0.042908
0.42732,0.16458,0.65036,0.065577,0.40995,0.12879,0.63592,0.057781,0.32659,0.082729,0.60343,0.038778
0.41561,0.17883,0.64794,0.076098,0.40606,0.13982,0.63313,0.057487,0.29852,0.10012,0.59195,0.040591
0.44318,0.24369,0.62558,0.085501,0.37392,0.24087,0.5986,0.057637,0.17161,0.11096,0.52155,0.041031
0.47814,0.20835,0.64517,0.086924,0.39833,0.24874,0.59391,0.082206,0.15237,0.087712,0.51811,0.035242
0.49027,0.22773,0.62375,0.10049,0.44292,0.26079,0.60437,0.12431,0.1727,0.10292,0.52791,0.043522
0.43523,0.24591,0.60488,0.07822,0.39849,0.25598,0.6238,0.08252,0.13214,0.09437,0.5155,0.033272
0.42529,0.26509,0.60892,0.090375,0.36995,0.25766,0.60451,0.078932,0.16515,0.10956,0.52176,0.043141
0.44944,0.24117,0.62388,0.088005,0.38441,0.25872,0.60776,0.086008,0.17984,0.11445,0.5255,0.044556
0.4682,0.27127,0.60795,0.11533,0.38553,0.26161,0.58603,0.088335,0.17418,0.12893,0.5207,0.046115
0.4485,0.25634,0.61293,0.090232,0.41309,0.25143,0.59699,0.086841,0.17609,0.097853,0.51835,0.03947
0.43967,0.26248,0.60791,0.088455,0.37885,0.2545,0.61086,0.098061,0.21026,0.10341,0.52695,0.045732
0.4701,0.2393,0.62206,0.082472,0.39925,0.22852,0.57021,0.1087,0.16435,0.091536,0.52707,0.035486
0.48986,0.20917,0.63776,0.087188,0.45481,0.14662,0.55549,0.068923,0.47826,0.12729,0.62355,0.070791
0.47719,0.24782,0.64426,0.1021,0.50019,0.15946,0.60467,0.055626,0.48693,0.13083,0.63133,0.066505
0.49271,0.16951,0.62926,0.076304,0.51263,0.15802,0.62585,0.060512,0.46148,0.13428,0.6265,0.068622
0.45731,0.20807,0.61988,0.141,0.34158,0.11825,0.58451,0.10312,0.4669,0.19028,0.67513,0.097642
0.38299,0.14233,0.60371,0.090849,0.35471,0.14381,0.59385,0.12411,0.44296,0.18048,0.66569,0.13609
0.49341,0.15794,0.69035,0.11669,0.36434,0.1304,0.61526,0.10303,0.41724,0.13864,0.65138,0.085686
0.49019,0.25435,0.62508,0.15738,0.2864,0.14442,0.56412,0.10146,0.40597,0.17432,0.6298,0.10291
0.3896,0.14399,0.58783,0.086594,0.35715,0.13331,0.59392,0.13246,0.51671,0.17807,0.71408,0.10149
