0.57392,0.061354,0.67743,0.02695,0.42454,0.006802,0.36563,0.0086071
0.53865,0.089724,0.70872,0.051721,0.18933,0.0035765,0.28631,0.0054055
0.36525,0.07127,0.65743,0.054001,0.1273,0.0043134,0.3971,0.011166
0.25527,0.10213,0.5804,0.045965,0.1551,0.0028899,0.3555,0.0059268
0.28368,0.10033,0.59192,0.042706,0.16197,0.0031577,0.35175,0.0061493
0.33774,0.13721,0.60632,0.09376,0.14489,0.013877,0.28109,0.024878
0.2701,0.11089,0.57412,0.070235,0.14098,0.0089363,0.36379,0.019054
0.18516,0.080184,0.55265,0.072277,0.063252,0.0041522,0.44359,0.022031
0.7333,0.037258,0.64292,0.047198,0.62374,0.0060491,0.4133,0.0087763
0.36016,0.13978,0.60644,0.086269,0.27307,0.0082818,0.52849,0.014811
0.32685,0.13584,0.5634,0.11921,0.28303,0.026812,0.44184,0.039251
0.25623,0.10231,0.59461,0.057517,0.070776,0.0036612,0.25308,0.0096053
0.85815,0.038127,0.66146,0.075294,0.80219,0.0061862,0.55638,0.012719
0.27921,0.10613,0.58544,0.045051,0.15933,0.0046883,0.32218,0.0086591
0.13828,0.058965,0.51702,0.018865,0.24174,0.0059312,0.4523,0.010605
0.6168,0.052077,0.64329,0.067544,0.53223,0.0079745,0.38495,0.0098242
0.54494,0.14119,0.64768,0.09228,0.33878,0.014204,0.26217,0.017867
0.22464,0.10878,0.52837,0.02533,0.39564,0.0070387,0.45198,0.0091653
0.2074,0.085635,0.54352,0.062951,0.11261,0.010141,0.4246,0.030366
0.48155,0.1528,0.65444,0.13945,0.068,0.01503,0.18158,0.03188
0.41637,0.17237,0.618,0.099649,0.1679,0.013467,0.2797,0.021761
0.5913,0.16848,0.68965,0.1628,0.17788,0.030881,0.24303,0.040618
0.30206,0.098881,0.57391,0.067432,0.20824,0.014456,0.42046,0.024992
